call_id,customer_id,sequence_id,timestamp,amount,merchant_category,location,is_online,is_international,hour_of_day,day_of_week,is_fraud
call_002,CUST_002,4,2025-12-13T13:29:56.544269,133.41,utilities,New York,1,0,18,1,0
call_002,CUST_002,5,2025-12-15T10:29:56.544269,12.52,utilities,Los Angeles,0,0,17,5,0
call_002,CUST_002,6,2025-12-16T18:29:56.544269,27.05,grocery,New York,0,0,13,1,0
call_002,CUST_002,7,2025-12-18T00:29:56.544269,14.76,grocery,Los Angeles,1,0,20,0,0
call_002,CUST_002,8,2025-12-19T18:29:56.544269,52.17,grocery,New York,1,0,19,1,0
call_002,CUST_002,9,2025-12-21T04:29:56.544269,32.3,utilities,New York,0,0,0,3,0
call_002,CUST_002,10,2025-12-22T21:29:56.544269,12.54,utilities,New York,0,0,7,0,0
call_002,CUST_002,11,2025-12-24T08:29:56.544269,46.74,gas_station,New York,0,0,12,6,0
call_002,CUST_002,12,2025-12-25T15:29:56.544269,16.32,grocery,New York,0,0,22,4,0
call_002,CUST_002,13,2025-12-27T14:29:56.544269,37.07,grocery,Los Angeles,0,0,14,2,0
call_002,CUST_002,14,2025-12-28T16:29:56.544269,12.25,gas_station,New York,0,0,6,5,0
call_002,CUST_002,15,2025-12-30T01:29:56.544269,14.48,grocery,New York,0,0,23,0,0
call_002,CUST_002,16,2025-12-31T16:29:56.544269,36.76,restaurant,Los Angeles,1,0,20,2,0
call_002,CUST_002,17,2026-01-02T04:29:56.544269,67.99,grocery,Los Angeles,1,0,5,1,0
call_002,CUST_002,18,2026-01-03T20:29:56.544269,36.61,restaurant,Los Angeles,0,0,15,2,0
call_002,CUST_002,19,2026-01-05T00:29:56.544269,28.04,grocery,New York,0,0,19,0,0
call_002,CUST_002,20,2026-01-06T20:29:56.544269,25.46,gas_station,New York,1,0,13,3,0
call_003,CUST_003,1,2025-12-09T14:29:56.544963,112.16,gas_station,Chicago,0,0,2,2,1
call_003,CUST_003,2,2025-12-10T18:29:56.544963,12.39,restaurant,Chicago,0,0,14,6,1
call_003,CUST_003,3,2025-12-12T14:29:56.544963,71.21,restaurant,Chicago,1,0,1,5,1
call_003,CUST_003,4,2025-12-13T15:29:56.544963,59.24,grocery,Houston,1,0,20,1,1
call_003,CUST_003,5,2025-12-15T05:29:56.544963,74.07,gas_station,Chicago,0,0,15,3,1
call_003,CUST_003,6,2025-12-16T20:29:56.544963,23.89,gas_station,Houston,0,0,11,6,1
call_003,CUST_003,7,2025-12-18T01:29:56.544963,26.09,gas_station,Chicago,0,0,23,0,1
call_003,CUST_003,8,2025-12-20T02:29:56.544963,40.55,gas_station,Houston,0,0,13,3,1
call_003,CUST_003,9,2025-12-21T11:29:56.544963,38.13,utilities,Chicago,0,0,18,5,1
call_003,CUST_003,10,2025-12-22T20:29:56.544963,15.94,gas_station,Houston,0,0,6,2,1
call_003,CUST_003,11,2025-12-24T06:29:56.544963,21.28,utilities,Houston,0,0,7,5,1
call_003,CUST_003,12,2025-12-25T21:29:56.544963,41.55,grocery,Houston,0,0,11,4,1
call_003,CUST_003,13,2025-12-27T11:29:56.544963,49.25,utilities,Chicago,0,0,18,6,1
call_003,CUST_003,14,2025-12-28T16:29:56.544963,35.09,gas_station,Chicago,1,0,17,5,1
call_003,CUST_003,15,2025-12-30T12:29:56.544963,20.66,grocery,Chicago,0,0,12,6,1
call_003,CUST_003,16,2025-12-30T14:29:56.544963,534.09,travel,Boston,1,1,3,1,1
call_003,CUST_003,17,2025-12-30T14:59:56.544963,92.97,electronics,Denver,1,0,5,4,1
call_003,CUST_003,18,2025-12-30T15:29:56.544963,228.45,electronics,Denver,1,0,3,5,1
call_003,CUST_003,19,2025-12-30T15:59:56.544963,259.96,online_retail,Denver,1,1,5,4,1
call_003,CUST_003,20,2025-12-30T16:29:56.544963,124.63,online_retail,Phoenix,1,1,3,3,1
call_004,CUST_004,1,2025-12-09T03:29:56.545406,63.14,utilities,Los Angeles,0,0,4,2,0
call_004,CUST_004,2,2025-12-10T23:29:56.545406,20.89,grocery,Los Angeles,0,0,10,1,0
call_004,CUST_004,3,2025-12-12T06:29:56.545406,16.93,gas_station,Chicago,0,0,7,3,0
call_004,CUST_004,4,2025-12-14T00:29:56.545406,125.95,grocery,Chicago,0,0,22,2,0
call_004,CUST_004,5,2025-12-15T00:29:56.545406,8.22,utilities,Los Angeles,0,0,8,3,0
call_004,CUST_004,6,2025-12-16T20:29:56.545406,20.89,utilities,Los Angeles,1,0,21,4,0
call_004,CUST_004,7,2025-12-18T02:29:56.545406,11.34,grocery,Los Angeles,0,0,6,3,0
call_004,CUST_004,8,2025-12-19T16:29:56.545406,12.26,restaurant,Chicago,0,0,17,3,0
call_004,CUST_004,9,2025-12-21T05:29:56.545406,259.25,gas_station,Los Angeles,0,0,17,0,0
call_004,CUST_004,10,2025-12-22T21:29:56.545406,22.06,grocery,Los Angeles,1,0,7,0,0
call_004,CUST_004,11,2025-12-24T02:29:56.545406,19.18,grocery,Los Angeles,0,0,8,2,0
call_004,CUST_004,12,2025-12-25T21:29:56.545406,127.57,restaurant,Chicago,0,0,1,2,0
call_004,CUST_004,13,2025-12-27T10:29:56.545406,20.13,grocery,Los Angeles,0,0,17,6,0
call_004,CUST_004,14,2025-12-28T20:29:56.545406,38.74,grocery,Chicago,0,0,15,0,0
call_004,CUST_004,15,2025-12-30T02:29:56.545406,26.7,utilities,Chicago,0,0,19,5,0
call_004,CUST_004,16,2025-12-31T16:29:56.545406,23.75,gas_station,Chicago,0,0,19,4,0
call_004,CUST_004,17,2026-01-02T09:29:56.545406,23.97,grocery,Chicago,1,0,8,3,0
call_004,CUST_004,18,2026-01-03T17:29:56.545406,42.26,grocery,Chicago,1,0,7,1,0
call_004,CUST_004,19,2026-01-05T11:29:56.545406,61.54,gas_station,Los Angeles,0,0,7,1,0
call_004,CUST_004,20,2026-01-06T12:29:56.545406,24.81,restaurant,Chicago,0,0,12,6,0
call_005,CUST_005,1,2025-12-08T16:29:56.545690,26.1,restaurant,Chicago,0,0,17,2,0
call_005,CUST_005,2,2025-12-10T16:29:56.545690,42.15,online_retail,Chicago,1,0,16,2,0
call_005,CUST_005,3,2025-12-12T16:29:56.545690,33.81,gas_station,Chicago,0,0,9,5,0
call_005,CUST_005,4,2025-12-14T16:29:56.545690,31.21,restaurant,Chicago,0,0,19,3,0
call_005,CUST_005,5,2025-12-16T16:29:56.545690,25.52,gas_station,Chicago,1,0,21,1,0
call_005,CUST_005,6,2025-12-18T16:29:56.545690,32.2,gas_station,Chicago,0,0,16,1,0
call_005,CUST_005,7,2025-12-20T16:29:56.545690,53.6,restaurant,Chicago,0,0,20,3,0
call_005,CUST_005,8,2025-12-22T16:29:56.545690,29.2,gas_station,Chicago,0,0,8,2,0
call_005,CUST_005,9,2025-12-24T16:29:56.545690,106.62,grocery,Chicago,0,0,9,4,0
call_005,CUST_005,10,2025-12-26T16:29:56.545690,51.46,restaurant,Chicago,1,0,12,0,0
call_005,CUST_005,11,2025-12-28T16:29:56.545690,149.4,entertainment,Madrid,0,1,22,4,0
call_005,CUST_005,12,2025-12-29T16:29:56.545690,13.87,travel,London,0,1,16,2,0
call_005,CUST_005,13,2025-12-30T16:29:56.545690,72.8,entertainment,Madrid,0,1,22,1,0
call_005,CUST_005,14,2025-12-31T16:29:56.545690,81.86,restaurant,Madrid,0,1,13,1,0
call_005,CUST_005,15,2026-01-01T16:29:56.545690,71.81,travel,Barcelona,0,1,21,4,0
call_005,CUST_005,16,2026-01-02T16:29:56.545690,64.24,travel,London,0,1,14,5,0
call_005,CUST_005,17,2026-01-03T16:29:56.545690,43.15,entertainment,London,0,1,20,6,0
call_005,CUST_005,18,2026-01-04T16:29:56.545690,165.0,entertainment,Madrid,0,1,20,1,0
call_005,CUST_005,19,2026-01-05T16:29:56.545690,26.57,entertainment,Barcelona,0,1,17,0,0
call_005,CUST_005,20,2026-01-06T16:29:56.545690,63.18,travel,Barcelona,0,1,18,4,0
