positive_score,negative_score,entity_count,key_phrase_count,is_positive,is_negative,is_mixed,avg_amount,std_amount,max_amount,total_amount,pct_online,pct_international,n_transactions,hour_variability,is_fraud
0.479,0.092,2,3,0,0,1,81.45,27.6,253.9,687.04,0.25,0.06,21,2.8,0
0.793,0.048,4,3,1,0,0,32.81,26.8,219.02,551.43,0.3,0.09,16,2.3,0
0.508,0.034,4,4,1,0,0,101.99,23.03,230.55,738.18,0.18,0.04,19,3.3,0
0.118,0.584,9,8,0,1,0,427.41,185.28,680.56,3979.95,0.89,0.52,15,7.6,1
0.257,0.025,6,3,0,0,1,72.49,40.42,113.14,1275.53,0.29,0.08,24,2.6,0
0.486,0.099,3,5,0,0,1,50.58,45.23,223.63,858.16,0.18,0.1,23,2.8,0
0.226,0.15,2,7,0,0,0,75.2,41.79,113.42,1249.96,0.21,0.13,18,2.0,0
0.651,0.023,6,7,1,0,0,58.99,24.52,165.5,619.76,0.42,0.09,22,3.2,0
0.107,0.727,8,9,0,1,0,159.15,84.48,1075.82,3080.57,0.64,0.51,16,8.8,1
0.717,0.138,5,6,1,0,0,86.18,20.26,287.97,1127.71,0.25,0.02,22,3.5,0
0.535,0.036,2,8,1,0,0,71.47,24.29,172.85,1003.42,0.36,0.01,25,3.5,0
0.645,0.104,2,8,1,0,0,81.37,31.02,297.3,1105.77,0.22,0.02,21,1.9,0
0.304,0.044,5,4,0,0,1,111.76,41.25,180.17,962.01,0.43,0.02,18,3.0,0
0.66,0.093,5,8,1,0,0,43.97,23.19,272.36,1446.12,0.26,0.04,24,3.1,0
0.738,0.081,5,4,1,0,0,67.07,30.7,285.91,1330.62,0.44,0.02,19,3.3,0
0.149,0.567,8,6,0,1,0,314.86,132.98,1121.39,3052.75,0.64,0.36,25,8.8,1
0.244,0.803,10,10,0,1,0,401.5,136.24,790.37,2820.22,0.62,0.65,17,9.1,1
0.089,0.767,7,11,0,1,0,234.23,82.92,951.83,2531.33,0.93,0.68,22,9.6,1
0.227,0.784,10,8,0,1,0,342.61,90.1,613.14,4695.66,0.81,0.3,21,5.5,1
0.27,0.025,3,3,0,0,0,31.61,59.45,185.55,884.33,0.35,0.03,19,3.9,0
0.223,0.564,9,9,0,1,0,157.91,125.18,1067.39,4961.83,0.65,0.54,16,6.9,1
0.209,0.817,6,7,0,1,0,251.4,125.07,565.79,3734.84,0.61,0.49,17,7.7,1
0.241,0.771,8,6,0,1,0,316.31,153.41,793.72,2743.19,0.72,0.6,21,5.1,1
0.124,0.555,5,8,0,1,0,428.5,131.38,1176.66,4890.86,0.9,0.42,17,6.9,1
0.098,0.578,5,12,0,1,0,419.16,188.05,943.17,3017.09,0.72,0.59,15,9.5,1
0.249,0.041,2,3,0,0,1,103.31,44.93,204.61,858.83,0.41,0.06,25,3.5,0
0.323,0.023,6,5,0,0,1,44.05,47.22,231.78,527.1,0.22,0.03,19,3.2,0
0.331,0.138,4,6,0,0,0,61.34,38.13,256.73,896.54,0.34,0.13,23,3.9,0
0.332,0.069,2,3,0,0,1,71.64,28.56,249.52,1002.72,0.22,0.13,18,2.5,0
0.095,0.839,4,10,0,1,0,153.65,196.39,530.21,4673.43,0.78,0.7,20,5.4,1
0.432,0.088,5,4,0,0,1,106.7,39.84,212.19,1376.65,0.27,0.02,23,1.6,0
0.652,0.097,5,7,1,0,0,54.13,43.09,181.88,1052.05,0.28,0.04,24,3.9,0
0.421,0.079,2,4,0,0,1,50.21,35.36,128.17,676.39,0.3,0.06,16,3.8,0
0.263,0.068,2,7,0,0,0,73.61,42.82,173.78,962.53,0.37,0.01,18,2.1,0
0.309,0.095,2,8,0,0,1,86.9,15.59,232.71,678.04,0.44,0.02,18,2.5,0
0.495,0.035,2,8,0,0,1,65.81,58.63,273.1,1317.07,0.23,0.03,25,3.2,0
0.073,0.564,7,10,0,1,0,162.22,182.66,992.56,3422.52,0.63,0.5,22,7.4,1
0.064,0.58,8,12,0,1,0,155.47,91.33,978.1,2213.57,0.71,0.64,19,5.1,1
0.894,0.129,2,7,1,0,0,41.22,56.44,273.98,1018.84,0.33,0.06,22,1.6,0
0.222,0.679,5,9,0,1,0,375.26,170.55,572.19,4707.66,0.78,0.63,15,6.6,1
0.805,0.038,2,7,1,0,0,108.16,36.93,278.91,1299.86,0.28,0.0,18,2.2,0
0.44,0.11,6,4,0,0,0,54.49,41.56,172.19,591.58,0.43,0.02,20,3.9,0
0.247,0.662,8,10,0,1,0,261.19,177.54,1163.07,4958.0,0.86,0.45,18,5.4,1
0.25,0.849,5,11,0,1,0,316.63,172.28,1161.34,4548.94,0.69,0.48,22,5.6,1
0.244,0.14,2,4,0,0,0,74.29,26.62,191.83,1480.03,0.3,0.05,18,3.1,0
0.635,0.037,3,7,1,0,0,35.7,59.55,164.47,1309.87,0.23,0.1,22,3.4,0
0.229,0.667,9,11,0,1,0,153.25,188.65,563.9,2957.94,0.93,0.68,19,7.9,1
0.174,0.58,6,12,0,1,0,175.23,164.12,550.93,4465.58,0.85,0.33,25,5.4,1
0.482,0.044,3,3,0,0,0,35.98,48.35,214.89,1341.83,0.19,0.12,22,2.0,0
0.115,0.774,8,11,0,1,0,344.89,181.91,960.33,3704.93,0.63,0.45,20,6.3,1
0.751,0.031,3,3,1,0,0,108.62,56.44,112.22,776.88,0.39,0.11,15,2.0,0
0.275,0.084,2,3,0,0,0,49.91,59.45,288.81,539.43,0.36,0.14,25,2.0,0
0.37,0.139,4,3,0,0,0,33.06,46.38,159.47,1424.4,0.44,0.14,15,2.7,0
0.059,0.634,6,12,0,1,0,435.12,186.83,818.96,3860.4,0.7,0.38,19,7.3,1
0.459,0.13,3,8,0,0,0,58.72,52.3,107.4,1096.27,0.22,0.02,19,1.7,0
0.362,0.102,4,4,0,0,1,53.21,21.27,266.99,1484.4,0.31,0.03,20,2.2,0
0.427,0.101,3,8,0,0,1,93.37,24.58,127.27,514.54,0.26,0.09,19,2.5,0
0.507,0.139,3,5,1,0,0,40.6,40.94,154.81,1054.18,0.35,0.12,19,2.0,0
0.183,0.552,6,6,0,1,0,198.24,145.85,984.33,3955.88,0.68,0.58,18,6.2,1
0.431,0.034,6,4,0,0,1,36.76,47.77,199.1,1188.4,0.28,0.04,19,3.5,0
0.213,0.635,10,11,0,1,0,185.45,163.61,940.26,4632.42,0.86,0.62,20,6.4,1
0.128,0.743,9,6,0,1,0,287.48,145.47,1159.03,3158.31,0.94,0.66,25,6.0,1
0.205,0.718,5,8,0,1,0,277.27,188.76,577.84,3477.88,0.6,0.49,17,5.3,1
0.221,0.748,10,6,0,1,0,198.88,88.47,949.69,2079.53,0.81,0.68,25,7.9,1
0.457,0.128,3,8,0,0,0,65.75,45.06,141.0,793.15,0.42,0.0,25,1.7,0
0.816,0.085,5,6,1,0,0,37.82,39.17,217.37,1245.44,0.28,0.02,18,2.2,0
0.301,0.124,6,4,0,0,1,30.42,30.01,179.63,1037.4,0.43,0.05,15,2.4,0
0.44,0.15,3,7,0,0,1,61.56,49.52,180.39,979.88,0.34,0.13,15,4.0,0
0.093,0.737,10,6,0,1,0,175.6,86.2,871.95,3621.91,0.82,0.59,16,9.9,1
0.504,0.038,5,7,1,0,0,111.0,54.33,219.48,1100.52,0.35,0.03,19,3.8,0
0.074,0.585,8,12,0,1,0,344.76,169.53,908.36,4886.52,0.73,0.41,23,9.3,1
0.317,0.058,4,8,0,0,1,62.01,47.36,159.42,1066.4,0.29,0.1,16,3.8,0
0.176,0.685,8,12,0,1,0,237.96,119.44,970.76,4257.12,0.88,0.62,17,5.5,1
0.596,0.03,4,3,1,0,0,41.6,20.76,130.38,638.83,0.34,0.03,24,2.4,0
0.099,0.842,5,11,0,1,0,267.93,187.05,941.8,4384.43,0.78,0.53,22,7.5,1
0.469,0.082,3,7,0,0,1,90.08,22.75,138.46,540.87,0.2,0.04,18,1.9,0
